log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
45531.8;22;633839.7179;7605644.043;487.5049;GirthWeld;37620;12.36;11.45;;;;;;;
45544.17;22;633850.5033;7605638.009;487.2867;GirthWeld;37630;12.38;11.45;;;;;;;
45556.54;22;633861.2886;7605631.951;487.0611;GirthWeld;37640;12.07;11.45;;;;;;;
45568.61;22;633871.8316;7605626.081;486.8074;GirthWeld;37650;4.93;11.45;;;;;;;
45573.55;22;633876.1476;7605623.697;486.6937;GirthWeld;37660;12.3;11.45;;;;;;;
45585.85;22;633886.8383;7605618.023;484.9121;GirthWeld;37670;12.33;11.45;;;;;;;
45598.18;22;633897.543;7605612.527;482.369;GirthWeld;37680;12.3;11.45;;;;;;;
45610.48;22;633908.5439;7605607.154;481.7791;WT_Change  / nom. wt = 13.74 mm;37690;12.32;13.74;;;;;;;
45614.82;22;633912.48;7605605.343;482.0073;AS_Casing;;;;;;;;;;
45622.8;22;633919.7283;7605602.014;482.368;GirthWeld  / under casing;37700;12.28;13.74;;;;;;;
45635.08;22;633930.8691;7605596.856;482.7818;GirthWeld  / under casing;37710;12.28;13.74;;;;;;;
45643.01;22;633938.054;7605593.522;482.9558;AE_Casing;;;;;;;;;;
45647.36;22;633942.0086;7605591.69;483.0162;WT_Change  / nom. wt = 11.45 mm;37720;12.27;11.45;;;;;;;
45659.63;22;633953.4819;7605587.423;483.1969;GirthWeld;37730;11.93;11.45;;;;;;;
45671.56;22;633965.163;7605585.134;483.364;GirthWeld;37740;6.41;11.45;;;;;;;
45677.97;22;633971.5273;7605584.361;483.4072;GirthWeld;37750;12.35;11.45;;;;;;;
45690.33;22;633983.7769;7605582.775;483.5663;GirthWeld;37760;12.34;11.45;;;;;;;
45702.67;22;633996.0053;7605581.134;483.6963;GirthWeld;37770;12.36;11.45;;;;;;;
45715.03;22;634008.2458;7605579.449;483.5831;GirthWeld;37780;12.33;11.45;;;;;;;
45727.36;22;634020.4485;7605577.7;483.4214;GirthWeld;37790;12.33;11.45;;;;;;;
45739.68;22;634032.6386;7605575.897;483.2284;GirthWeld;37800;12.39;11.45;;;;;;;
45745.58;22;634038.4726;7605575.047;483.1206;MELO-MIFE  / at LW;;;;-5.9;1:44;10;;68;42;YES
45752.07;22;634044.8956;7605574.122;482.9908;GirthWeld;37810;12.28;11.45;;;;;;;
45764.35;22;634057.0506;7605572.42;482.7899;GirthWeld;37820;12.34;11.45;;;;;;;
45776.69;22;634069.2633;7605570.7;482.621;GirthWeld;37830;12.36;11.45;;;;;;;
45788.92;22;634081.3649;7605568.964;482.3351;MELO-MIFE  / p. grinding;;;;-12.23;10:54;13;;56;43;YES
45789.05;22;634081.4924;7605568.945;482.3315;GirthWeld;37840;12.33;11.45;;;;;;;
45801.38;22;634093.6869;7605567.166;482.0103;GirthWeld;37850;12.36;11.45;;;;;;;
45813.74;22;634105.9158;7605565.419;481.7438;GirthWeld;37860;12.34;11.45;;;;;;;
45826.08;22;634118.1282;7605563.685;481.5593;GirthWeld;37870;12.31;11.45;;;;;;;
45838.38;22;634130.3101;7605561.967;481.4721;GirthWeld;37880;12.38;11.45;;;;;;;
45850.76;22;634142.5682;7605560.243;481.336;GirthWeld;37890;12.35;11.45;;;;;;;
45863.12;22;634154.7937;7605558.503;481.1414;GirthWeld;37900;12.33;11.45;;;;;;;
45875.45;22;634167.0076;7605556.811;481.0075;GirthWeld;37910;12.35;11.45;;;;;;;
45887.8;22;634179.237;7605555.096;481.1489;GirthWeld;37920;12.21;11.45;;;;;;;
45900.02;22;634191.326;7605553.366;481.2663;GirthWeld;37930;12.36;11.45;;;;;;;
45912.38;22;634203.5613;7605551.6;481.4014;GirthWeld;37940;11.99;11.45;;;;;;;
45924.37;22;634215.4186;7605549.869;481.5544;GirthWeld;37950;12.32;11.45;;;;;;;
45936.69;22;634227.6122;7605548.099;481.7669;GirthWeld;37960;12.31;11.45;;;;;;;
