log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
-5.86;22;592583.2045;7621851.197;453.7562;AS_DatRec;;;;;;;;;;
-4.6;22;592584.4625;7621851.208;453.7549;Tee;;;;;3:00;;;;;
0;22;592589.074;7621851.247;453.75;Valve  / No. 1 - VES-10500;;;;;;;;;;
1.57;22;592590.6445;7621851.26;453.7483;Offtake;;;;;12:00;;;;;
3.27;22;592592.3513;7621851.275;453.7465;Support;;;;;6:00;;;;;
5.72;22;592594.8039;7621851.288;453.737;Tee;;;;;12:00;;;;;
7.41;22;592596.4973;7621851.294;453.7303;Support;;;;;6:00;;;;;
8.63;22;592597.712;7621851.296;453.7229;Flange;;;;;;;;;;
9.24;22;592598.3308;7621851.296;453.7191;AE_Launch  / nom. wt = 16.51 mm;10;11.49;16.51;;;;;;;
20.62;22;592609.5496;7621851.269;452.1487;MELO-MIFE  / p. grinding;;;;-11.38;9:36;15;;29;18;YES
20.73;22;592609.6537;7621851.269;452.1204;GirthWeld;20;3.22;16.51;;;;;;;
23.95;22;592612.7547;7621851.271;451.276;GirthWeld;30;12.2;16.51;;;;;;;
36.15;22;592624.7864;7621851.33;449.6555;GirthWeld;40;10.34;16.51;;;;;;;
46.48;22;592635.1386;7621851.425;449.5517;GirthWeld;50;12.35;16.51;;;;;;;
58.83;22;592647.4695;7621851.33;448.8278;GirthWeld;60;12.01;16.51;;;;;;;
70.85;22;592659.4636;7621851.432;448.1295;GirthWeld;70;11.87;16.51;;;;;;;
82.72;22;592671.3179;7621852.264;448.1311;GirthWeld;80;12.34;16.51;;;;;;;
86.98;22;592675.5633;7621852.703;448.2808;AS_Casing;;;;;;;;;;
95.06;22;592683.6051;7621853.576;448.5399;GirthWeld  / under casing;90;12.34;16.51;;;;;;;
107.4;22;592695.8837;7621854.984;448.7785;GirthWeld  / under casing;100;12.31;16.51;;;;;;;
119.71;22;592708.1296;7621856.401;448.8696;GirthWeld  / under casing;110;11.93;16.51;;;;;;;
131.64;22;592719.9992;7621857.779;448.7787;GirthWeld  / under casing;120;12.4;16.51;;;;;;;
139.58;22;592727.8954;7621858.671;448.5521;AE_Casing;;;;;;;;;;
144.04;22;592732.3286;7621859.159;448.3864;GirthWeld;130;12.28;16.51;;;;;;;
156.32;22;592744.5516;7621858.977;448.2788;GirthWeld;140;12.32;16.51;;;;;;;
168.49;22;592756.5785;7621857.011;448.5455;MELO-MIFE  / at LW;;;;-12.17;2:15;16;;28;20;YES
168.64;22;592756.7238;7621856.987;448.5489;GirthWeld;150;12.23;16.51;;;;;;;
180.87;22;592768.801;7621854.95;448.7913;WT_Change  / nom. wt = 11.45 mm;160;11.68;11.45;;;;;;;
192.55;22;592780.3161;7621852.897;448.9264;GirthWeld;170;12.27;11.45;;;;;;;
204.82;22;592792.4091;7621850.702;449.0003;GirthWeld;180;12.29;11.45;;;;;;;
217.11;22;592804.5254;7621848.513;449.0454;GirthWeld;190;12.25;11.45;;;;;;;
229.37;22;592816.6196;7621846.429;449.2279;GirthWeld;200;12.28;11.45;;;;;;;
241.64;22;592828.759;7621844.482;449.4933;GirthWeld;210;12.28;11.45;;;;;;;
253.93;22;592840.8982;7621842.497;449.6429;GirthWeld;220;12.28;11.45;;;;;;;
266.21;22;592853.0268;7621840.452;449.5899;GirthWeld;230;12.32;11.45;;;;;;;
278.53;22;592865.1974;7621838.423;449.5362;GirthWeld;240;11.33;11.45;;;;;;;
289.86;22;592876.3873;7621836.554;449.5417;GirthWeld;250;12.32;11.45;;;;;;;
302.18;22;592888.5504;7621834.47;449.5544;GirthWeld;260;12.28;11.45;;;;;;;
314.46;22;592900.6755;7621832.416;449.5256;GirthWeld;270;12.21;11.45;;;;;;;
326.67;22;592912.7355;7621830.382;449.5502;GirthWeld;280;12.3;11.45;;;;;;;
338.97;22;592924.8852;7621828.332;449.5763;GirthWeld;290;12.28;11.45;;;;;;;
351.26;22;592937.0137;7621826.264;449.6197;GirthWeld;300;12.27;11.45;;;;;;;
351.28;22;592937.0344;7621826.261;449.6198;MELO-COFE  / girth weld feature;;;;-0.02;6:13;10;;21;66;n/a
363.53;22;592949.1225;7621824.169;449.7127;GirthWeld;310;12.32;11.45;;;;;;;
375.85;22;592961.2835;7621822.071;449.7709;GirthWeld;320;12.27;11.45;;;;;;;
388.12;22;592973.3998;7621820.009;449.8026;GirthWeld;330;12.32;11.45;;;;;;;
400.44;22;592985.5667;7621817.984;449.8252;GirthWeld;340;12.29;11.45;;;;;;;
412.73;22;592997.706;7621815.946;449.8128;GirthWeld;350;12.32;11.45;;;;;;;
425.05;22;593009.87;7621813.899;449.7918;GirthWeld;360;12.13;11.45;;;;;;;
437.18;22;593021.8566;7621811.899;449.7297;GirthWeld;370;12.33;11.45;;;;;;;
449.51;22;593034.0255;7621809.808;449.7388;GirthWeld;380;12.32;11.45;;;;;;;
461.83;22;593046.1838;7621807.707;449.7641;GirthWeld;390;12.34;11.45;;;;;;;
474.17;22;593058.3691;7621805.671;449.7543;GirthWeld;400;12.32;11.45;;;;;;;
486.49;22;593070.5457;7621803.666;449.6331;GirthWeld;410;12.44;11.45;;;;;;;
498.94;22;593082.9545;7621803.376;449.5457;GirthWeld;420;11.93;11.45;;;;;;;
510.87;22;593094.8617;7621804.37;449.5502;GirthWeld;430;12.32;11.45;;;;;;;
523.19;22;593107.1609;7621805.355;449.4835;GirthWeld;440;12.32;11.45;;;;;;;
535.51;22;593119.4575;7621806.352;449.4532;GirthWeld;450;12.33;11.45;;;;;;;
547.83;22;593131.7621;7621807.345;449.5235;GirthWeld;460;12.32;11.45;;;;;;;
560.15;22;593144.0624;7621808.334;449.4998;GirthWeld;470;12.32;11.45;;;;;;;
572.48;22;593156.3546;7621809.391;449.3812;GirthWeld;480;12.31;11.45;;;;;;;
584.78;22;593168.6308;7621810.479;449.2444;GirthWeld;490;12.27;11.45;;;;;;;
597.05;22;593180.8755;7621811.525;449.1692;GirthWeld;500;12.31;11.45;;;;;;;
609.37;22;593193.1605;7621812.541;449.0703;GirthWeld;510;12.34;11.45;;;;;;;
621.71;22;593205.4771;7621813.584;448.9553;GirthWeld;520;12.31;11.45;;;;;;;
634.02;22;593217.7566;7621814.673;448.903;GirthWeld;530;12.33;11.45;;;;;;;
646.34;22;593230.055;7621815.718;448.8496;GirthWeld;540;12.32;11.45;;;;;;;
658.66;22;593242.3496;7621816.724;448.7997;GirthWeld;550;12.31;11.45;;;;;;;
670.98;22;593254.6398;7621817.751;448.7789;GirthWeld;560;12.32;11.45;;;;;;;
683.3;22;593266.9346;7621818.799;448.7102;GirthWeld;570;12.32;11.45;;;;;;;
695.62;22;593279.2274;7621819.817;448.6037;GirthWeld;580;12.34;11.45;;;;;;;
695.63;22;593279.2374;7621819.818;448.6036;MELO-COFE  / girth weld feature;;;;-0.01;5:04;19;;18;67;n/a
707.96;22;593291.5428;7621820.837;448.5415;GirthWeld;590;12.27;11.45;;;;;;;
720.23;22;593303.7894;7621821.854;448.4936;GirthWeld;600;12.32;11.45;;;;;;;
732.55;22;593316.0842;7621822.857;448.4404;GirthWeld;610;12.33;11.45;;;;;;;
744.87;22;593328.3872;7621823.861;448.4032;GirthWeld;620;12.35;11.45;;;;;;;
757.22;22;593340.7095;7621824.872;448.3565;GirthWeld;630;12.33;11.45;;;;;;;
769.54;22;593353.0109;7621825.904;448.293;GirthWeld;640;12.35;11.45;;;;;;;
781.89;22;593365.3302;7621826.977;448.1863;GirthWeld;650;12.35;11.45;;;;;;;
794.25;22;593377.6543;7621828.039;448.0752;GirthWeld;660;12.32;11.45;;;;;;;
806.56;22;593389.9416;7621829.104;447.9982;GirthWeld;670;12.34;11.45;;;;;;;
818.9;22;593402.2516;7621830.154;447.9428;GirthWeld;680;12.34;11.45;;;;;;;
831.24;22;593414.5623;7621831.181;447.8738;GirthWeld;690;12.32;11.45;;;;;;;
843.56;22;593426.8614;7621832.163;447.8743;GirthWeld;700;11.86;11.45;;;;;;;
855.41;22;593438.6963;7621833.117;447.8403;GirthWeld;710;12.26;11.45;;;;;;;
867.67;22;593450.931;7621834.125;447.6631;GirthWeld;720;12.34;11.45;;;;;;;
880.01;22;593463.2391;7621835.132;447.4373;GirthWeld;730;12.3;11.45;;;;;;;
892.31;22;593475.5184;7621836.145;447.3454;GirthWeld;740;12.38;11.45;;;;;;;
904.69;22;593487.8692;7621837.175;447.2807;GirthWeld;750;12.33;11.45;;;;;;;
917.02;22;593500.1708;7621838.215;447.2118;GirthWeld;760;12.25;11.45;;;;;;;
929.27;22;593512.3979;7621839.256;447.0844;GirthWeld;770;12.32;11.45;;;;;;;
941.59;22;593524.6931;7621840.267;446.8756;GirthWeld;780;12.35;11.45;;;;;;;
953.94;22;593537.0185;7621841.281;446.7275;GirthWeld;790;12.35;11.45;;;;;;;
966.29;22;593549.3381;7621842.347;446.604;GirthWeld;800;12.33;11.45;;;;;;;
978.62;22;593561.6409;7621843.385;446.4816;GirthWeld;810;12.32;11.45;;;;;;;
984.56;22;593567.541;7621843.877;446.42;MM  / No. 1 @ KM 898+004,75;;;;;12:00;;;;;
990.94;22;593573.8637;7621844.392;446.3333;GirthWeld;820;12.38;11.45;;;;;;;
1003.33;22;593586.187;7621845.413;446.1477;GirthWeld;830;12.34;11.45;;;;;;;
1015.67;22;593598.4687;7621846.444;446.0295;GirthWeld;840;12.35;11.45;;;;;;;
1025.22;22;593607.9733;7621847.229;445.9365;MELO-MIFE  / at LW;;;;-9.55;11:11;10;;45;31;YES
1028.02;22;593610.7608;7621847.457;445.905;GirthWeld;850;12.36;11.45;;;;;;;
1040.38;22;593623.0553;7621848.473;445.7595;GirthWeld;860;12.31;11.45;;;;;;;
1052.68;22;593635.3051;7621849.455;445.5949;GirthWeld;870;12.34;11.45;;;;;;;
1065.03;22;593647.5841;7621850.49;445.4584;GirthWeld;880;12.34;11.45;;;;;;;
1077.36;22;593659.8528;7621851.564;445.2387;GirthWeld;890;12.35;11.45;;;;;;;
1089.71;22;593672.1339;7621852.606;444.8181;GirthWeld;900;10.07;11.45;;;;;;;
1099.78;22;593682.1468;7621853.45;444.6003;GirthWeld;910;12.35;11.45;;;;;;;
1112.11;22;593694.4207;7621854.465;444.4258;MELO-COFE  / girth weld feature;;;;-12.34;6:51;21;;18;74;n/a
1112.12;22;593694.4307;7621854.466;444.4257;GirthWeld;920;12.32;11.45;;;;;;;
1124.44;22;593706.692;7621855.453;444.2122;GirthWeld;930;12.2;11.45;;;;;;;
1136.65;22;593718.8431;7621856.353;444.1329;GirthWeld;940;12.34;11.45;;;;;;;
1148.99;22;593731.133;7621857.282;444.1009;GirthWeld;950;12.33;11.45;;;;;;;
1161.32;22;593743.4084;7621858.207;443.9013;GirthWeld;960;12.29;11.45;;;;;;;
1173.6;22;593755.6391;7621859.131;443.7094;GirthWeld;970;12.33;11.45;;;;;;;
1185.93;22;593767.9067;7621860.096;443.5197;GirthWeld;980;12.38;11.45;;;;;;;
1198.31;22;593780.2294;7621861.086;443.3732;GirthWeld;990;12.33;11.45;;;;;;;
1210.64;22;593792.4932;7621862.109;443.2285;GirthWeld;1000;12.34;11.45;;;;;;;
1222.98;22;593804.773;7621863.12;443.0292;GirthWeld;1010;12.37;11.45;;;;;;;
1228.65;22;593810.4184;7621863.576;442.9293;MELO-MIFE  / at LW;;;;-5.67;10:15;10;;54;37;YES
1235.35;22;593817.0843;7621864.105;442.8018;GirthWeld;1020;12.26;11.45;;;;;;;
1247.61;22;593829.282;7621865.095;442.5789;GirthWeld;1030;12.32;11.45;;;;;;;
1259.93;22;593841.5454;7621866.098;442.3824;GirthWeld;1040;12.37;11.45;;;;;;;
1259.93;22;593841.5494;7621866.099;442.3823;MELO-COFE  / girth weld feature;;;;0;8:31;11;;21;112;n/a
1272.3;22;593853.8555;7621867.127;442.2166;GirthWeld;1050;12.35;11.45;;;;;;;
1284.65;22;593866.1428;7621868.173;442.0378;GirthWeld;1060;12.33;11.45;;;;;;;
1296.98;22;593878.413;7621869.208;441.9169;GirthWeld;1070;12.33;11.45;;;;;;;
1309.32;22;593890.6842;7621870.237;441.8156;GirthWeld;1080;12.18;11.45;;;;;;;
1321.5;22;593902.806;7621871.271;441.6867;GirthWeld;1090;12.37;11.45;;;;;;;
1333.87;22;593915.1064;7621872.37;441.5369;GirthWeld;1100;11.86;11.45;;;;;;;
1345.73;22;593926.9044;7621873.403;441.4626;GirthWeld;1110;12.18;11.45;;;;;;;
1357.91;22;593939.0193;7621874.448;441.3345;GirthWeld;1120;12.37;11.45;;;;;;;
1370.28;22;593951.3295;7621875.475;441.1671;GirthWeld;1130;11.87;11.45;;;;;;;
1382.14;22;593963.1374;7621876.441;441.0394;GirthWeld;1140;12.36;11.45;;;;;;;
1394.51;22;593975.4414;7621877.46;441.0134;GirthWeld;1150;12.36;11.45;;;;;;;
1406.87;22;593987.739;7621878.507;440.9166;GirthWeld;1160;12.33;11.45;;;;;;;
1419.19;22;594000.0046;7621879.564;440.7999;GirthWeld;1170;12.32;11.45;;;;;;;
1431.51;22;594012.2607;7621880.622;440.7344;GirthWeld;1180;12.36;11.45;;;;;;;
1443.87;22;594024.551;7621881.69;440.6056;GirthWeld;1190;12.36;11.45;;;;;;;
1456.23;22;594036.8561;7621882.692;440.4816;GirthWeld;1200;12.29;11.45;;;;;;;
1468.52;22;594049.0885;7621883.68;440.4715;GirthWeld;1210;12.34;11.45;;;;;;;
1480.86;22;594061.3646;7621884.709;440.465;GirthWeld;1220;12.37;11.45;;;;;;;
1493.23;22;594073.6751;7621885.758;440.3095;GirthWeld;1230;12.35;11.45;;;;;;;
1505.58;22;594085.9571;7621886.817;440.0823;GirthWeld;1240;12.35;11.45;;;;;;;
1517.93;22;594098.2467;7621887.876;439.9768;GirthWeld;1250;12.35;11.45;;;;;;;
1530.29;22;594110.5369;7621888.937;439.9419;GirthWeld;1260;12.34;11.45;;;;;;;
1542.62;22;594122.8127;7621889.977;439.8838;GirthWeld;1270;12.18;11.45;;;;;;;
1554.8;22;594134.9301;7621890.973;439.727;GirthWeld;1280;12.04;11.45;;;;;;;
1566.84;22;594146.9113;7621891.957;439.6216;GirthWeld;1290;12.39;11.45;;;;;;;
1579.22;22;594159.2379;7621892.976;439.5568;GirthWeld;1300;12.12;11.45;;;;;;;
1591.35;22;594171.3057;7621893.941;439.5339;GirthWeld;1310;12.32;11.45;;;;;;;
1603.67;22;594183.5669;7621894.908;439.4395;GirthWeld;1320;12.38;11.45;;;;;;;
1616.05;22;594195.8921;7621895.899;439.2759;GirthWeld;1330;12.36;11.45;;;;;;;
1628.41;22;594208.1939;7621896.875;439.2036;GirthWeld;1340;12.36;11.45;;;;;;;
1640.77;22;594220.5035;7621897.838;439.2016;GirthWeld;1350;11.24;11.45;;;;;;;
1652.01;22;594231.6929;7621898.741;439.0537;GirthWeld;1360;12.35;11.45;;;;;;;
1664.37;22;594243.9846;7621899.772;438.8823;GirthWeld;1370;12.36;11.45;;;;;;;
1676.73;22;594256.2835;7621900.842;438.7962;GirthWeld;1380;12.33;11.45;;;;;;;
1689.06;22;594268.5533;7621901.895;438.6817;GirthWeld;1390;12.37;11.45;;;;;;;
1701.44;22;594280.867;7621902.886;438.4961;WT_Change  / nom. wt = 13.74 mm;1400;11.4;13.74;;;;;;;
1712.84;22;594292.2124;7621903.786;438.32;GirthWeld;1410;11.56;13.74;;;;;;;
1724.4;22;594303.7216;7621904.691;438.1418;GirthWeld;1420;12.18;13.74;;;;;;;
1736.58;22;594315.8444;7621905.674;437.947;GirthWeld;1430;11.51;13.74;;;;;;;
1748.09;22;594327.2953;7621906.629;437.7225;GirthWeld;1440;12.33;13.74;;;;;;;
1760.42;22;594339.5509;7621907.702;437.3604;GirthWeld;1450;12.36;13.74;;;;;;;
1772.78;22;594351.8368;7621908.794;436.9954;GirthWeld;1460;12.32;13.74;;;;;;;
1785.1;22;594364.082;7621909.925;436.7235;GirthWeld;1470;12.39;13.74;;;;;;;
1797.49;22;594376.4014;7621911.059;436.5327;GirthWeld;1480;12.27;13.74;;;;;;;
1809.76;22;594388.6004;7621912.194;436.2371;GirthWeld;1490;12.18;13.74;;;;;;;
1821.94;22;594400.7196;7621913.001;435.7965;GirthWeld;1500;12.16;13.74;;;;;;;
1834.1;22;594412.7113;7621911.764;435.2377;GirthWeld;1510;12.15;13.74;;;;;;;
1846.25;22;594424.3063;7621908.283;434.6046;GirthWeld;1520;12.24;13.74;;;;;;;
1858.49;22;594435.7139;7621904.038;433.6195;GirthWeld;1530;12.21;13.74;;;;;;;
1870.7;22;594447.1123;7621899.85;432.5656;GirthWeld;1540;11.89;13.74;;;;;;;
1882.59;22;594458.2544;7621895.883;431.6139;GirthWeld;1550;12.12;13.74;;;;;;;
1894.71;22;594469.6542;7621891.92;430.7641;GirthWeld;1560;12.36;13.74;;;;;;;
1907.07;22;594481.2753;7621887.865;429.9425;GirthWeld;1570;12.39;13.74;;;;;;;
1919.46;22;594492.9592;7621883.88;429.1541;GirthWeld;1580;11.96;13.74;;;;;;;
1931.42;22;594504.23;7621879.996;428.4819;GirthWeld;1590;11.64;13.74;;;;;;;
1943.06;22;594515.1821;7621876.171;427.8209;GirthWeld;1600;10.67;13.74;;;;;;;
1953.73;22;594525.2116;7621872.618;427.2312;GirthWeld;1610;11.87;13.74;;;;;;;
1965.6;22;594536.377;7621868.698;426.6668;GirthWeld;1620;12;13.74;;;;;;;
1977.6;22;594547.6732;7621864.742;426.2369;GirthWeld;1630;12.22;13.74;;;;;;;
1989.82;22;594559.1853;7621860.709;425.9555;WT_Change  / nom. wt = 11.45 mm;1640;12.37;11.45;;;;;;;
2002.19;22;594570.8458;7621856.64;425.7034;GirthWeld;1650;12.34;11.45;;;;;;;
2014.53;22;594582.4811;7621852.611;425.3395;GirthWeld;1660;12.32;11.45;;;;;;;
2015.8;22;594583.6833;7621852.206;425.297;MELO-MIFE;;;;-1.27;8:20;11;;49;30;YES
2026.85;22;594594.1309;7621848.674;424.9114;GirthWeld;1670;12.35;11.45;;;;;;;
2039.21;22;594605.7816;7621844.641;424.5092;GirthWeld;1680;12.34;11.45;;;;;;;
2051.55;22;594617.3947;7621840.537;424.1585;GirthWeld;1690;12.35;11.45;;;;;;;
2063.9;22;594629.0219;7621836.449;423.7161;GirthWeld;1700;12.34;11.45;;;;;;;
2076.24;22;594640.6241;7621832.385;423.0182;GirthWeld;1710;12.34;11.45;;;;;;;
2088.57;22;594652.2249;7621828.36;422.0718;GirthWeld;1720;12.35;11.45;;;;;;;
2100.92;22;594663.834;7621824.348;421.0363;GirthWeld;1730;12.35;11.45;;;;;;;
2113.27;22;594675.4646;7621820.389;420.0403;GirthWeld;1740;12.15;11.45;;;;;;;
2125.42;22;594686.8703;7621816.455;418.8366;GirthWeld;1750;12.36;11.45;;;;;;;
2137.78;22;594698.4233;7621812.416;417.346;GirthWeld;1760;12.34;11.45;;;;;;;
2150.13;22;594709.9968;7621808.444;415.9235;GirthWeld;1770;12.35;11.45;;;;;;;
2162.48;22;594721.6117;7621804.513;414.6541;GirthWeld;1780;12.19;11.45;;;;;;;
2174.67;22;594733.0857;7621800.605;413.6292;GirthWeld;1790;12.36;11.45;;;;;;;
2187.03;22;594744.7495;7621796.666;412.8181;GirthWeld;1800;12.16;11.45;;;;;;;
2199.18;22;594756.2183;7621792.82;411.8815;GirthWeld;1810;12.36;11.45;;;;;;;
2211.54;22;594767.8228;7621788.826;410.692;GirthWeld;1820;12.24;11.45;;;;;;;
2223.78;22;594779.2857;7621784.761;409.5622;GirthWeld;1830;12.35;11.45;;;;;;;
2236.13;22;594790.8395;7621780.612;408.4706;GirthWeld;1840;12.33;11.45;;;;;;;
2248.46;22;594802.3767;7621776.539;407.129;GirthWeld;1850;12.3;11.45;;;;;;;
2260.76;22;594813.8668;7621772.509;405.5955;GirthWeld;1860;12.27;11.45;;;;;;;
2273.03;22;594825.2862;7621768.46;403.8323;GirthWeld;1870;12.2;11.45;;;;;;;
2285.23;22;594836.6374;7621764.511;401.9386;GirthWeld;1880;11.74;11.45;;;;;;;
2296.97;22;594847.5711;7621760.795;399.9766;GirthWeld;1890;12.36;11.45;;;;;;;
2309.33;22;594859.1458;7621756.923;398.2736;WT_Change  / nom. wt = 13.74 mm;1900;12.35;13.74;;;;;;;
2321.67;22;594870.7965;7621753.013;397.3494;GirthWeld;1910;12.32;13.74;;;;;;;
2333.99;22;594882.2854;7621748.815;396.2004;GirthWeld;1920;12.36;13.74;;;;;;;
2346.36;22;594893.6497;7621744.302;394.5591;GirthWeld;1930;12.37;13.74;;;;;;;
2358.73;22;594905.1905;7621740.009;393.8667;GirthWeld;1940;12.23;13.74;;;;;;;
2370.96;22;594916.7411;7621736.099;394.4982;GirthWeld;1950;12.35;13.74;;;;;;;
2383.32;22;594928.3629;7621732.109;395.6812;GirthWeld;1960;12.35;13.74;;;;;;;
2395.66;22;594939.9508;7621727.966;396.4123;GirthWeld;1970;12.3;13.74;;;;;;;
2407.97;22;594951.5258;7621723.855;396.6697;WT_Change  / nom. wt = 11.45 mm;1980;12.08;11.45;;;;;;;
2420.05;22;594962.9319;7621720.047;397.5805;GirthWeld;1990;12.35;11.45;;;;;;;
2432.4;22;594974.5934;7621716.332;399.1853;GirthWeld;2000;12.32;11.45;;;;;;;
2444.72;22;594986.2037;7621712.417;400.4186;GirthWeld;2010;12.34;11.45;;;;;;;
2457.07;22;594997.7866;7621708.33;401.5636;GirthWeld;2020;1.58;11.45;;;;;;;
2458.65;22;594999.2641;7621707.787;401.7122;GirthWeld;2030;12.34;11.45;;;;;;;
2470.99;22;595010.7711;7621703.492;402.8067;GirthWeld;2040;12.35;11.45;;;;;;;
2483.34;22;595022.3542;7621699.293;403.3039;GirthWeld;2050;12.34;11.45;;;;;;;
2495.68;22;595033.9749;7621695.187;403.5804;GirthWeld;2060;12.37;11.45;;;;;;;
2508.05;22;595045.628;7621691.1;404.0591;GirthWeld;2070;12.22;11.45;;;;;;;
2520.27;22;595057.1254;7621687.043;404.5676;GirthWeld;2080;12.22;11.45;;;;;;;
2532.49;22;595068.6549;7621683.045;404.8998;GirthWeld;2090;12.35;11.45;;;;;;;
2544.84;22;595080.3144;7621679.06;405.4252;GirthWeld;2100;12.33;11.45;;;;;;;
2557.17;22;595091.9618;7621675.119;406.1645;GirthWeld;2110;12.36;11.45;;;;;;;
2569.53;22;595103.5988;7621671.079;407.0614;GirthWeld;2120;11.89;11.45;;;;;;;
2581.42;22;595114.75;7621667.093;408.0136;GirthWeld;2130;12.04;11.45;;;;;;;
2593.46;22;595126.0345;7621663.048;409.0708;GirthWeld;2140;12.04;11.45;;;;;;;
2605.5;22;595137.3144;7621658.998;410.1704;GirthWeld;2150;12.38;11.45;;;;;;;
2617.89;22;595148.9364;7621654.9;411.2894;GirthWeld;2160;12.36;11.45;;;;;;;
2630.25;22;595160.5685;7621650.861;412.2199;GirthWeld;2170;12.34;11.45;;;;;;;
2642.58;22;595172.1602;7621646.739;412.9308;GirthWeld;2180;12.34;11.45;;;;;;;
2654.92;22;595183.7607;7621642.65;413.6885;GirthWeld;2190;12.38;11.45;;;;;;;
2667.3;22;595195.4144;7621638.584;414.5073;GirthWeld;2200;12.36;11.45;;;;;;;
2679.66;22;595207.0461;7621634.524;415.4189;GirthWeld;2210;12.34;11.45;;;;;;;
2692;22;595218.6521;7621630.451;416.2839;GirthWeld;2220;12.35;11.45;;;;;;;
2704.35;22;595230.2736;7621626.38;417.1028;GirthWeld;2230;12.3;11.45;;;;;;;
2716.65;22;595241.8369;7621622.288;417.7287;GirthWeld;2240;11.82;11.45;;;;;;;
2728.47;22;595252.9643;7621618.364;418.2219;GirthWeld;2250;12.37;11.45;;;;;;;
2740.84;22;595264.6202;7621614.289;418.7788;GirthWeld;2260;12.24;11.45;;;;;;;
2753.08;22;595276.1561;7621610.281;419.3419;GirthWeld;2270;11.89;11.45;;;;;;;
2764.97;22;595287.3675;7621606.402;419.8491;GirthWeld;2280;12.37;11.45;;;;;;;
2777.32;22;595299.0075;7621602.344;420.3909;MELO-COFE  / girth weld feature;;;;-12.35;3:29;12;;21;236;n/a
2777.34;22;595299.0273;7621602.337;420.3918;GirthWeld;2290;12.33;11.45;;;;;;;
2789.67;22;595310.6507;7621598.299;420.914;GirthWeld;2300;12.33;11.45;;;;;;;
2802.01;22;595322.2788;7621594.263;421.4671;GirthWeld;2310;12.37;11.45;;;;;;;
2814.37;22;595333.9394;7621590.216;421.9892;GirthWeld;2320;12.37;11.45;;;;;;;
2826.73;22;595345.593;7621586.169;422.4609;MELO-COFE  / girth weld feature;;;;-12.36;9:07;10;;18;94;n/a
2826.74;22;595345.6034;7621586.165;422.4612;GirthWeld;2330;12.35;11.45;;;;;;;
2839.1;22;595357.2384;7621582.072;422.8441;GirthWeld;2340;12.34;11.45;;;;;;;
2851.44;22;595368.8658;7621577.996;423.2951;GirthWeld;2350;12.2;11.45;;;;;;;
2863.64;22;595380.3623;7621573.98;423.7938;GirthWeld;2360;12.35;11.45;;;;;;;
2875.99;22;595391.9806;7621569.86;424.3033;GirthWeld;2370;12.37;11.45;;;;;;;
2888.36;22;595403.609;7621565.726;424.8391;GirthWeld;2380;12.35;11.45;;;;;;;
2900.71;22;595415.2401;7621561.651;425.3774;GirthWeld;2390;12.34;11.45;;;;;;;
2913.04;22;595426.8709;7621557.611;425.8538;GirthWeld;2400;9.86;11.45;;;;;;;
2922.9;22;595436.1597;7621554.351;426.1404;GirthWeld;2410;12.3;11.45;;;;;;;
2935.2;22;595447.733;7621550.225;426.2539;GirthWeld;2420;12.08;11.45;;;;;;;
2947.28;22;595459.104;7621546.212;426.3703;GirthWeld;2430;12.41;11.45;;;;;;;
2959.69;22;595470.7951;7621542.222;427.3164;GirthWeld;2440;12.36;11.45;;;;;;;
2972.04;22;595482.4277;7621538.277;428.5707;GirthWeld;2450;12.34;11.45;;;;;;;
2984.39;22;595494.0493;7621534.246;429.4395;GirthWeld;2460;12.37;11.45;;;;;;;
2991.19;22;595500.441;7621532.012;429.79;MM  / No. 2 @ KM 900+003,05;;;;;12:00;;;;;
2996.76;22;595505.6459;7621530.172;430.0571;GirthWeld;2470;12.38;11.45;;;;;;;
3009.13;22;595517.2816;7621526.026;430.5781;GirthWeld;2480;11.99;11.45;;;;;;;
3021.12;22;595528.5547;7621522.015;430.9994;GirthWeld;2490;12.37;11.45;;;;;;;
3033.49;22;595540.2033;7621517.928;431.4487;GirthWeld;2500;12.27;11.45;;;;;;;
3045.75;22;595551.782;7621513.941;431.9522;GirthWeld;2510;12.36;11.45;;;;;;;
3058.11;22;595563.461;7621509.981;432.4825;GirthWeld;2520;12.34;11.45;;;;;;;
3070.45;22;595575.122;7621506.002;432.9727;GirthWeld;2530;12.36;11.45;;;;;;;
3082.81;22;595586.7742;7621501.946;433.4469;GirthWeld;2540;11.9;11.45;;;;;;;
3094.72;22;595597.9778;7621497.984;433.8757;GirthWeld;2550;12.34;11.45;;;;;;;
3107.06;22;595609.5829;7621493.842;434.3071;GirthWeld;2560;12.33;11.45;;;;;;;
3119.4;22;595621.181;7621489.709;434.7619;GirthWeld;2570;12.37;11.45;;;;;;;
3131.77;22;595632.8207;7621485.58;435.1963;GirthWeld;2580;12.35;11.45;;;;;;;
3137.94;22;595638.6393;7621483.54;435.4299;MIFE  / at LW;;;;-6.18;10:30;;;;;n/a
3144.11;22;595644.4505;7621481.502;435.6616;GirthWeld;2590;12.37;11.45;;;;;;;
3156.48;22;595655.9993;7621477.146;436.0985;GirthWeld;2600;11.49;11.45;;;;;;;
3167.96;22;595666.6658;7621472.939;436.4883;GirthWeld;2610;12.26;11.45;;;;;;;
