log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
29202.88;22;619523.0402;7612518.089;432.7179;Girth Weld;24130;12.36;11.45;;;;;;;
29215.24;22;619534.8313;7612514.417;432.9907;Girth Weld;24140;12.34;11.45;;;;;;;
29227.58;22;619546.6134;7612510.781;433.2078;Girth Weld;24150;12.31;11.45;;;;;;;
29239.89;22;619558.3859;7612507.199;433.3819;Girth Weld;24160;12.36;11.45;;;;;;;
29252.25;22;619570.1962;7612503.596;433.5996;Girth Weld;24170;12.37;11.45;;;;;;;
29264.62;22;619582.0098;7612499.956;433.8267;Girth Weld;24180;12.34;11.45;;;;;;;
29276.95;22;619593.7827;7612496.303;433.9766;Girth Weld;24190;12.3;11.45;;;;;;;
29289.26;22;619605.5063;7612492.602;434.106;Girth Weld;24200;12.36;11.45;;;;;;;
29301.62;22;619617.2773;7612488.859;434.2308;Girth Weld;24210;12.37;11.45;;;;;;;
29313.98;22;619629.0556;7612485.118;434.412;Girth Weld;24220;12.33;11.45;;;;;;;
29326.32;22;619640.8136;7612481.427;434.6314;Girth Weld;24230;12.3;11.45;;;;;;;
29338.61;22;619652.5328;7612477.737;434.8056;Girth Weld;24240;12.36;11.45;;;;;;;
29350.97;22;619664.3239;7612474.044;434.9363;Girth Weld;24250;12.29;11.45;;;;;;;
29363.27;22;619676.0449;7612470.373;435.1002;Girth Weld;24260;12.34;11.45;;;;;;;
29375.6;22;619687.8101;7612466.693;435.2709;Girth Weld;24270;12.35;11.45;;;;;;;
29387.95;22;619699.5888;7612463.002;435.4323;Girth Weld;24280;12.33;11.45;;;;;;;
29400.29;22;619711.3453;7612459.302;435.567;Girth Weld;24290;12.31;11.45;;;;;;;
29412.6;22;619723.0847;7612455.628;435.6777;Girth Weld;24300;12.35;11.45;;;;;;;
29424.95;22;619734.8679;7612451.96;435.8093;Girth Weld;24310;12.34;11.45;;;;;;;
29437.29;22;619746.639;7612448.274;435.9315;Girth Weld;24320;12.33;11.45;;;;;;;
29449.62;22;619758.3895;7612444.562;436.0853;Girth Weld;24330;12.36;11.45;;;;;;;
29461.98;22;619770.1677;7612440.847;436.2558;Girth Weld;24340;12.16;11.45;;;;;;;
29474.14;22;619781.7543;7612437.184;436.469;Girth Weld;24350;12.36;11.45;;;;;;;
29486.49;22;619793.5325;7612433.478;436.6345;Girth Weld;24360;11.6;11.45;;;;;;;
29498.09;22;619804.5865;7612429.989;436.7248;Girth Weld;24370;12.36;11.45;;;;;;;
29510.46;22;619816.3823;7612426.317;436.8468;Girth Weld;24380;12.33;11.45;;;;;;;
29522.79;22;619828.1509;7612422.659;437.0286;Girth Weld;24390;12.34;11.45;;;;;;;
29535.13;22;619839.9069;7612418.936;437.2029;Girth Weld;24400;12.4;11.45;;;;;;;
29547.53;22;619851.7139;7612415.17;437.3072;Girth Weld;24410;12.36;11.45;;;;;;;
29559.89;22;619863.4925;7612411.453;437.3869;Girth Weld;24420;12.34;11.45;;;;;;;
29572.22;22;619875.2564;7612407.768;437.5423;Girth Weld;24430;12.28;11.45;;;;;;;
29584.51;22;619886.9751;7612404.124;437.7229;Girth Weld;24440;12.39;11.45;;;;;;;
29596.9;22;619898.798;7612400.441;437.9029;Girth Weld;24450;12.38;11.45;;;;;;;
29609.28;22;619910.5989;7612396.736;438.0311;Girth Weld;24460;12.34;11.45;;;;;;;
29621.61;22;619922.352;7612393.005;438.1475;Girth Weld;24470;12.04;11.45;;;;;;;
29633.65;22;619933.8191;7612389.358;438.2742;Girth Weld;24480;12.38;11.45;;;;;;;
29646.03;22;619945.6088;7612385.612;438.4342;Girth Weld;24490;12.33;11.45;;;;;;;
29658.36;22;619957.3549;7612381.9;438.5667;Girth Weld;24500;12.31;11.45;;;;;;;
29670.67;22;619969.0934;7612378.216;438.7039;Girth Weld;24510;11.81;11.45;;;;;;;
29682.48;22;619980.3624;7612374.711;438.861;Girth Weld;24520;12.38;11.45;;;;;;;
29694.87;22;619992.1694;7612371.003;439.0261;Girth Weld;24530;12.33;11.45;;;;;;;
29707.2;22;620003.9294;7612367.325;439.1768;Girth Weld;24540;12.35;11.45;;;;;;;
29719.55;22;620015.7117;7612363.637;439.2756;Girth Weld;24550;12.2;11.45;;;;;;;
29731.75;22;620027.3514;7612360.001;439.3742;Girth Weld;24560;12.34;11.45;;;;;;;
29744.09;22;620039.1323;7612356.357;439.5136;Girth Weld;24570;12.17;11.45;;;;;;;
29756.26;22;620050.7403;7612352.74;439.6766;Girth Weld;24580;12.34;11.45;;;;;;;
29768.6;22;620062.5083;7612349.047;439.819;Girth Weld;24590;11.89;11.45;;;;;;;
29780.49;22;620073.8449;7612345.501;439.907;Girth Weld;24600;12.27;11.45;;;;;;;
29792.76;22;620085.5523;7612341.838;440.031;Girth Weld;24610;12.35;11.45;;;;;;;
29805.12;22;620097.3334;7612338.152;440.2025;Girth Weld;24620;12.37;11.45;;;;;;;
29817.49;22;620109.1343;7612334.459;440.3953;Girth Weld;24630;12.29;11.45;;;;;;;
29829.78;22;620120.8476;7612330.756;440.5323;Girth Weld;24640;12.35;11.45;;;;;;;
29842.13;22;620132.6007;7612326.99;440.6719;Girth Weld;24650;12.32;11.45;;;;;;;
29854.46;22;620144.3357;7612323.249;440.8131;Girth Weld;24660;12.4;11.45;;;;;;;
29866.86;22;620156.1511;7612319.511;440.9431;Girth Weld;24670;12.35;11.45;;;;;;;
29879.2;22;620167.9227;7612315.818;441.0046;Girth Weld;24680;12.17;11.45;;;;;;;
29891.38;22;620179.532;7612312.176;441.1078;Girth Weld;24690;12.35;11.45;;;;;;;
29903.73;22;620191.3153;7612308.495;441.2629;Girth Weld;24700;12.27;11.45;;;;;;;
29916;22;620203.0206;7612304.847;441.4059;Girth Weld;24710;12.03;11.45;;;;;;;
29928.03;22;620214.4938;7612301.267;441.5512;Girth Weld;24720;12.34;11.45;;;;;;;
29940.37;22;620226.271;7612297.597;441.7089;Girth Weld;24730;12.3;11.45;;;;;;;
29952.67;22;620238.0041;7612293.949;441.7771;Girth Weld;24740;12.3;11.45;;;;;;;
29964.97;22;620249.7399;7612290.282;441.7581;Girth Weld;24750;12.31;11.45;;;;;;;
29977.28;22;620261.4867;7612286.616;441.7869;Girth Weld;24760;12.39;11.45;;;;;;;
29989.67;22;620273.3085;7612282.929;441.8376;Girth Weld;24770;12.36;11.45;;;;;;;
30002.03;22;620285.0877;7612279.211;441.9184;Girth Weld;24780;12.27;11.45;;;;;;;
30014.3;22;620296.7768;7612275.503;442.0047;Girth Weld;24790;12.32;11.45;;;;;;;
30026.62;22;620308.5099;7612271.779;442.1349;Girth Weld;24800;12.35;11.45;;;;;;;
30038.97;22;620320.2695;7612268.05;442.28;Girth Weld;24810;12.36;11.45;;;;;;;
30051.32;22;620332.0686;7612264.406;442.3826;Girth Weld;24820;12.28;11.45;;;;;;;
30063.61;22;620343.8027;7612260.805;442.5003;Girth Weld;24830;12.18;11.45;;;;;;;
30075.79;22;620355.4298;7612257.204;442.6218;Girth Weld;24840;12.32;11.45;;;;;;;
30088.11;22;620367.1872;7612253.543;442.7232;Girth Weld;24850;12.37;11.45;;;;;;;
30100.48;22;620378.9918;7612249.859;442.8379;Girth Weld;24860;12.34;11.45;;;;;;;
30112.82;22;620390.7553;7612246.166;442.9713;Girth Weld;24870;12.37;11.45;;;;;;;
30125.19;22;620402.5556;7612242.471;443.0319;Girth Weld;24880;12.07;11.45;;;;;;;
30137.26;22;620414.0746;7612238.897;443.0857;Girth Weld;24890;12.36;11.45;;;;;;;
30149.62;22;620425.8747;7612235.252;443.1264;Girth Weld;24900;12.36;11.45;;;;;;;
30161.98;22;620437.6697;7612231.587;443.1872;Girth Weld;24910;12.34;11.45;;;;;;;
30174.32;22;620449.4343;7612227.892;443.2829;Girth Weld;24920;12.38;11.45;;;;;;;
30186.69;22;620461.2224;7612224.145;443.3262;Girth Weld;24930;12.37;11.45;;;;;;;
30199.07;22;620473.0038;7612220.393;443.3427;Girth Weld;24940;12.27;11.45;;;;;;;
30211.33;22;620484.6917;7612216.696;443.3416;Girth Weld;24950;12.31;11.45;;;;;;;
30223.64;22;620496.4196;7612212.997;443.3217;Girth Weld;24960;12.34;11.45;;;;;;;
30235.98;22;620508.187;7612209.31;443.3187;Girth Weld;24970;12.26;11.45;;;;;;;
30248.24;22;620519.8715;7612205.617;443.3195;Girth Weld;24980;12.16;11.45;;;;;;;
30260.4;22;620531.4662;7612201.965;443.1562;Girth Weld;24990;12.34;11.45;;;;;;;
30272.74;22;620543.2255;7612198.264;443.0594;Girth Weld;25000;12.37;11.45;;;;;;;
30285.11;22;620555.0158;7612194.544;443.0087;Girth Weld;25010;12.35;11.45;;;;;;;
30297.46;22;620566.7822;7612190.833;443.0193;Girth Weld;25020;12.26;11.45;;;;;;;
30309.71;22;620578.4633;7612187.146;443.0726;Girth Weld;25030;12.2;11.45;;;;;;;
30321.91;22;620590.0961;7612183.488;443.1118;Girth Weld;25040;12.34;11.45;;;;;;;
30334.25;22;620601.8666;7612179.821;443.2826;Girth Weld;25050;12.33;11.45;;;;;;;
30346.58;22;620613.6343;7612176.17;443.572;Girth Weld;25060;12.34;11.45;;;;;;;
30358.92;22;620625.4035;7612172.506;443.8939;Girth Weld;25070;12.32;11.45;;;;;;;
30371.24;22;620637.1527;7612168.833;444.2775;Girth Weld;25080;12.3;11.45;;;;;;;
30383.54;22;620648.8697;7612165.147;444.7321;Girth Weld;25090;12.35;11.45;;;;;;;
30395.89;22;620660.6276;7612161.434;445.2466;Girth Weld;25100;12.31;11.45;;;;;;;
30408.21;22;620672.3439;7612157.707;445.7911;Girth Weld;25110;12.27;11.45;;;;;;;
30420.47;22;620684.0129;7612153.992;446.3922;Girth Weld;25120;12.32;11.45;;;;;;;
30432.79;22;620695.7262;7612150.246;447.0258;Girth Weld;25130;12.29;11.45;;;;;;;
30445.08;22;620707.4205;7612146.544;447.6043;Girth Weld;25140;12.33;11.45;;;;;;;
30457.41;22;620719.1616;7612142.847;448.1979;Girth Weld;25150;12.28;11.45;;;;;;;
30469.7;22;620730.8453;7612139.124;448.7935;Girth Weld;25160;12.32;11.45;;;;;;;
30482.01;22;620742.5535;7612135.361;449.3561;Girth Weld;25170;12.3;11.45;;;;;;;
30494.31;22;620754.2513;7612131.632;449.9197;Girth Weld;25180;12.24;11.45;;;;;;;
30506.56;22;620765.9124;7612127.957;450.4211;Girth Weld;25190;12.31;11.45;;;;;;;
30518.87;22;620777.6458;7612124.273;450.8554;Girth Weld;25200;12.29;11.45;;;;;;;
30531.15;22;620789.3406;7612120.566;451.3648;Girth Weld;25210;12.24;11.45;;;;;;;
30543.4;22;620800.9788;7612116.821;451.8836;Girth Weld;25220;12.31;11.45;;;;;;;
30555.71;22;620812.6652;7612113.003;452.3359;Girth Weld;25230;12.33;11.45;;;;;;;
30568.04;22;620824.362;7612109.138;452.6926;Girth Weld;25240;12.21;11.45;;;;;;;
30580.25;22;620835.9304;7612105.267;453.0601;Girth Weld;25250;12.28;11.45;;;;;;;
30592.54;22;620847.5757;7612101.397;453.4598;Girth Weld;25260;12.35;11.45;;;;;;;
30604.88;22;620859.2797;7612097.512;453.8377;Girth Weld;25270;12.31;11.45;;;;;;;
30617.19;22;620870.9576;7612093.655;454.2252;Girth Weld;25280;12.2;11.45;;;;;;;
30629.4;22;620882.532;7612089.835;454.5925;Girth Weld;25290;12.28;11.45;;;;;;;
30641.67;22;620894.1732;7612085.968;454.9363;Girth Weld;25300;12.32;11.45;;;;;;;
30654;22;620905.8524;7612082.075;455.2855;Girth Weld;25310;12.34;11.45;;;;;;;
30666.34;22;620917.5273;7612078.108;455.6418;Girth Weld;25320;12.15;11.45;;;;;;;
30678.49;22;620929.0101;7612074.178;455.9139;Girth Weld;25330;11.96;11.45;;;;;;;
30690.45;22;620940.338;7612070.373;456.1868;Girth Weld;25340;12.2;11.45;;;;;;;
30702.65;22;620951.9046;7612066.518;456.4783;Girth Weld;25350;12.33;11.45;;;;;;;
30714.98;22;620963.5857;7612062.61;456.8053;Girth Weld;25360;12.36;11.45;;;;;;;
30727.34;22;620975.2959;7612058.69;457.0613;Girth Weld;25370;12.31;11.45;;;;;;;
30739.65;22;620986.9539;7612054.767;457.2853;Girth Weld;25380;12.29;11.45;;;;;;;
