log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
-3.41;22;592585.6544;7621851.201;453.737;Area Start_Data Recording;;;;;;;;;;
0;22;592589.074;7621851.247;453.749;Valve  / No. 1 - VES-10500;;;;;;;;;;
3.27;22;592592.3494;7621851.291;453.7605;Support;;;;;6:00;;;;;
5.72;22;592594.8018;7621851.317;453.7645;Tee;;;;;12:00;;;;;
7.41;22;592596.4951;7621851.331;453.7666;Support;;;;;6:00;;;;;
8.63;22;592597.7098;7621851.338;453.7642;Flange;;;;;;;;;;
9.24;22;592598.3287;7621851.341;453.7621;Area End_Launcher;10;11.49;16.51;;;;;;;
20.73;22;592609.7236;7621851.363;452.6041;Girth Weld;20;3.22;16.51;;;;;;;
23.95;22;592612.8349;7621851.378;451.7736;Girth Weld;30;12.22;16.51;;;;;;;
36.16;22;592624.8435;7621851.479;449.7767;Girth Weld;40;10.32;16.51;;;;;;;
46.48;22;592635.1802;7621851.613;449.7604;Girth Weld;50;12.37;16.51;;;;;;;
58.85;22;592647.5503;7621851.616;449.2373;Girth Weld;60;11.99;16.51;;;;;;;
70.85;22;592659.5244;7621851.649;448.4843;Girth Weld;70;11.89;16.51;;;;;;;
82.74;22;592671.4023;7621852.423;448.4811;Girth Weld;80;12.32;16.51;;;;;;;
86.98;22;592675.6258;7621852.867;448.6531;Area Start_Casing;;;16.51;;;;;;;
95.06;22;592683.6618;7621853.754;448.9683;Girth Weld;90;12.34;16.51;;;;;;;
107.4;22;592695.9333;7621855.186;449.2871;Girth Weld;100;12.33;16.51;;;;;;;
119.73;22;592708.1972;7621856.632;449.4444;Girth Weld;110;11.93;16.51;;;;;;;
131.66;22;592720.0615;7621858.034;449.4232;Girth Weld;120;12.38;16.51;;;;;;;
139.58;22;592727.9387;7621858.945;449.278;Area End_Casing;;;16.51;;;;;;;
144.04;22;592732.373;7621859.445;449.1514;Girth Weld;130;12.28;16.51;;;;;;;
156.32;22;592744.6085;7621859.732;449.0755;Girth Weld;140;12.32;16.51;;;;;;;
168.64;22;592756.7788;7621857.768;449.47;Girth Weld;150;12.23;16.51;;;;;;;
180.87;22;592768.8549;7621855.76;449.854;Area Start_wall thickness Change <;160;11.68;11.45;;;;;;;
192.55;22;592780.3713;7621853.735;450.1145;Girth Weld;170;12.27;11.45;;;;;;;
204.82;22;592792.4642;7621851.552;450.307;Girth Weld;180;12.29;11.45;;;;;;;
217.11;22;592804.5799;7621849.369;450.4621;Girth Weld;190;12.25;11.45;;;;;;;
229.37;22;592816.6686;7621847.277;450.753;Girth Weld;200;12.28;11.45;;;;;;;
241.64;22;592828.8011;7621845.322;451.1385;Girth Weld;210;12.28;11.45;;;;;;;
253.93;22;592840.9383;7621843.348;451.4017;Girth Weld;220;12.28;11.45;;;;;;;
266.21;22;592853.0664;7621841.302;451.392;Girth Weld;230;12.32;11.45;;;;;;;
278.53;22;592865.2346;7621839.259;451.3536;Girth Weld;240;11.33;11.45;;;;;;;
289.86;22;592876.4238;7621837.39;451.3599;Girth Weld;250;12.32;11.45;;;;;;;
302.18;22;592888.5843;7621835.294;451.3805;Girth Weld;260;12.28;11.45;;;;;;;
314.46;22;592900.7071;7621833.228;451.3855;Girth Weld;270;12.21;11.45;;;;;;;
326.67;22;592912.7641;7621831.182;451.4275;Girth Weld;280;12.3;11.45;;;;;;;
338.97;22;592924.9103;7621829.116;451.4646;Girth Weld;290;12.28;11.45;;;;;;;
351.26;22;592937.0351;7621827.032;451.5089;Girth Weld;300;12.27;11.45;;;;;;;
363.53;22;592949.1396;7621824.92;451.6027;Girth Weld;310;12.32;11.45;;;;;;;
375.85;22;592961.2965;7621822.805;451.6651;Girth Weld;320;12.27;11.45;;;;;;;
388.12;22;592973.4089;7621820.726;451.7025;Girth Weld;330;12.32;11.45;;;;;;;
400.44;22;592985.571;7621818.676;451.7165;Girth Weld;340;12.29;11.45;;;;;;;
412.73;22;592997.7067;7621816.62;451.6935;Girth Weld;350;12.32;11.45;;;;;;;
425.05;22;593009.8678;7621814.558;451.6659;Girth Weld;360;12.13;11.45;;;;;;;
437.18;22;593021.8521;7621812.546;451.593;Girth Weld;370;12.33;11.45;;;;;;;
449.51;22;593034.0183;7621810.443;451.5882;Girth Weld;380;12.32;11.45;;;;;;;
461.83;22;593046.1731;7621808.326;451.5921;Girth Weld;390;12.34;11.45;;;;;;;
474.17;22;593058.355;7621806.274;451.5807;Girth Weld;400;12.32;11.45;;;;;;;
486.49;22;593070.5309;7621804.262;451.4682;Girth Weld;410;12.44;11.45;;;;;;;
498.94;22;593082.9232;7621803.57;451.3631;Girth Weld;420;11.93;11.45;;;;;;;
510.87;22;593094.8307;7621804.554;451.3465;Girth Weld;430;12.32;11.45;;;;;;;
523.19;22;593107.1304;7621805.529;451.2735;Girth Weld;440;12.32;11.45;;;;;;;
535.51;22;593119.4274;7621806.515;451.2249;Girth Weld;450;12.33;11.45;;;;;;;
547.83;22;593131.7318;7621807.498;451.2809;Girth Weld;460;12.32;11.45;;;;;;;
560.15;22;593144.0332;7621808.466;451.2647;Girth Weld;470;12.32;11.45;;;;;;;
572.48;22;593156.3281;7621809.494;451.1319;Girth Weld;480;12.31;11.45;;;;;;;
584.78;22;593168.6062;7621810.562;450.9824;Girth Weld;490;12.27;11.45;;;;;;;
597.05;22;593180.8516;7621811.596;450.8667;Girth Weld;500;12.31;11.45;;;;;;;
609.37;22;593193.138;7621812.592;450.7367;Girth Weld;510;12.34;11.45;;;;;;;
621.71;22;593205.4556;7621813.62;450.5763;Girth Weld;520;12.31;11.45;;;;;;;
634.02;22;593217.7361;7621814.691;450.4735;Girth Weld;530;12.33;11.45;;;;;;;
646.34;22;593230.0341;7621815.735;450.3847;Girth Weld;540;12.32;11.45;;;;;;;
658.66;22;593242.329;7621816.73;450.2829;Girth Weld;550;12.31;11.45;;;;;;;
670.98;22;593254.6192;7621817.748;450.2092;Girth Weld;560;12.32;11.45;;;;;;;
683.3;22;593266.9147;7621818.782;450.1006;Girth Weld;570;12.32;11.45;;;;;;;
695.62;22;593279.2074;7621819.796;449.94;Girth Weld;580;12.34;11.45;;;;;;;
707.96;22;593291.523;7621820.806;449.8216;Girth Weld;590;12.27;11.45;;;;;;;
720.23;22;593303.7694;7621821.816;449.7107;Girth Weld;600;12.32;11.45;;;;;;;
732.55;22;593316.0636;7621822.819;449.5992;Girth Weld;610;12.33;11.45;;;;;;;
744.87;22;593328.3661;7621823.819;449.4944;Girth Weld;620;12.35;11.45;;;;;;;
757.22;22;593340.6879;7621824.829;449.3936;Girth Weld;630;12.33;11.45;;;;;;;
769.54;22;593352.9887;7621825.863;449.3035;Girth Weld;640;12.35;11.45;;;;;;;
781.89;22;593365.3076;7621826.937;449.1514;Girth Weld;650;12.35;11.45;;;;;;;
794.25;22;593377.6305;7621828.005;448.9727;Girth Weld;660;12.32;11.45;;;;;;;
806.56;22;593389.9169;7621829.073;448.8362;Girth Weld;670;12.34;11.45;;;;;;;
818.9;22;593402.2259;7621830.126;448.7065;Girth Weld;680;12.34;11.45;;;;;;;
831.24;22;593414.5353;7621831.159;448.5747;Girth Weld;690;12.32;11.45;;;;;;;
843.56;22;593426.8331;7621832.147;448.5244;Girth Weld;700;11.86;11.45;;;;;;;
855.41;22;593438.6673;7621833.103;448.4453;Girth Weld;710;12.26;11.45;;;;;;;
867.67;22;593450.9025;7621834.107;448.2367;Girth Weld;720;12.34;11.45;;;;;;;
880.01;22;593463.2102;7621835.113;447.9417;Girth Weld;730;12.3;11.45;;;;;;;
892.31;22;593475.4893;7621836.118;447.768;Girth Weld;740;12.38;11.45;;;;;;;
904.69;22;593487.8398;7621837.145;447.6552;Girth Weld;750;12.33;11.45;;;;;;;
917.02;22;593500.1404;7621838.19;447.5403;Girth Weld;760;12.25;11.45;;;;;;;
929.27;22;593512.3671;7621839.233;447.3666;Girth Weld;770;12.32;11.45;;;;;;;
941.59;22;593524.6613;7621840.254;447.1071;Girth Weld;780;12.35;11.45;;;;;;;
953.94;22;593536.9863;7621841.268;446.8948;Girth Weld;790;12.35;11.45;;;;;;;
966.29;22;593549.3049;7621842.336;446.6993;Girth Weld;800;12.33;11.45;;;;;;;
978.62;22;593561.6064;7621843.385;446.5172;Girth Weld;810;12.32;11.45;;;;;;;
984.56;22;593567.541;7621843.877;446.419;MM  / No. 1 @ KM 898+004,75;;;;;12:00;;;;;
990.94;22;593573.8804;7621844.401;446.3392;Girth Weld;820;12.38;11.45;;;;;;;
1003.33;22;593586.2053;7621845.431;446.1583;Girth Weld;830;12.34;11.45;;;;;;;
1015.67;22;593598.4876;7621846.475;446.019;Girth Weld;840;12.35;11.45;;;;;;;
1027.88;22;593610.6428;7621847.495;445.8965;metal loss-milling feature;;;;-12.21;11:09;10;;43;45;YES
1028.02;22;593610.7801;7621847.507;445.895;Girth Weld;850;12.36;11.45;;;;;;;
1040.38;22;593623.0755;7621848.541;445.7644;Girth Weld;860;12.31;11.45;;;;;;;
1052.68;22;593635.3259;7621849.542;445.6064;Girth Weld;870;12.34;11.45;;;;;;;
1065.03;22;593647.6056;7621850.592;445.4636;Girth Weld;880;12.34;11.45;;;;;;;
1077.36;22;593659.8761;7621851.679;445.2759;Girth Weld;890;12.35;11.45;;;;;;;
1089.71;22;593672.1589;7621852.745;444.8854;Girth Weld;900;10.07;11.45;;;;;;;
1099.78;22;593682.1715;7621853.608;444.6503;Girth Weld;910;12.35;11.45;;;;;;;
1112.11;22;593694.4396;7621854.648;444.4818;metal loss-construction feature  / girth weld feature;;;;-12.33;6:55;22;;15;37;n/a
1112.12;22;593694.4555;7621854.649;444.4816;Girth Weld;920;12.32;11.45;;;;;;;
1124.44;22;593706.7164;7621855.669;444.2758;Girth Weld;930;12.2;11.45;;;;;;;
1136.65;22;593718.866;7621856.608;444.1547;Girth Weld;940;12.34;11.45;;;;;;;
1148.99;22;593731.1564;7621857.556;444.1445;Girth Weld;950;12.33;11.45;;;;;;;
1161.32;22;593743.4328;7621858.503;443.967;Girth Weld;960;12.29;11.45;;;;;;;
1173.6;22;593755.6644;7621859.442;443.7726;Girth Weld;970;12.33;11.45;;;;;;;
1185.93;22;593767.9325;7621860.428;443.579;Girth Weld;980;12.38;11.45;;;;;;;
1198.31;22;593780.2565;7621861.426;443.4255;Girth Weld;990;12.33;11.45;;;;;;;
1210.64;22;593792.5215;7621862.459;443.2793;Girth Weld;1000;12.34;11.45;;;;;;;
1222.98;22;593804.8022;7621863.49;443.1028;Girth Weld;1010;12.37;11.45;;;;;;;
1235.35;22;593817.1149;7621864.49;442.8916;Girth Weld;1020;12.26;11.45;;;;;;;
1247.61;22;593829.314;7621865.492;442.6714;Girth Weld;1030;12.32;11.45;;;;;;;
1259.93;22;593841.5792;7621866.5;442.4805;Girth Weld;1040;12.37;11.45;;;;;;;
1272.3;22;593853.8911;7621867.532;442.311;Girth Weld;1050;12.35;11.45;;;;;;;
1284.65;22;593866.1799;7621868.586;442.1351;Girth Weld;1060;12.33;11.45;;;;;;;
1296.98;22;593878.4518;7621869.627;442.0169;Girth Weld;1070;12.33;11.45;;;;;;;
1309.32;22;593890.7243;7621870.663;441.9157;Girth Weld;1080;12.18;11.45;;;;;;;
1321.5;22;593902.8482;7621871.698;441.7987;Girth Weld;1090;12.37;11.45;;;;;;;
1333.87;22;593915.1502;7621872.803;441.6514;Girth Weld;1100;11.86;11.45;;;;;;;
1345.73;22;593926.9493;7621873.844;441.5759;Girth Weld;1110;12.18;11.45;;;;;;;
1357.91;22;593939.0657;7621874.9;441.478;Girth Weld;1120;12.37;11.45;;;;;;;
1370.28;22;593951.3767;7621875.944;441.3124;Girth Weld;1130;11.87;11.45;;;;;;;
1382.14;22;593963.1855;7621876.924;441.191;Girth Weld;1140;12.36;11.45;;;;;;;
1394.51;22;593975.4909;7621877.946;441.1653;Girth Weld;1150;12.36;11.45;;;;;;;
1406.87;22;593987.7896;7621879.006;441.077;Girth Weld;1160;12.33;11.45;;;;;;;
1419.19;22;594000.0562;7621880.073;440.9589;Girth Weld;1170;12.32;11.45;;;;;;;
1431.51;22;594012.3135;7621881.137;440.8795;Girth Weld;1180;12.36;11.45;;;;;;;
1443.87;22;594024.6052;7621882.214;440.7597;Girth Weld;1190;12.36;11.45;;;;;;;
1456.23;22;594036.9109;7621883.233;440.6328;Girth Weld;1200;12.29;11.45;;;;;;;
1468.52;22;594049.1446;7621884.223;440.5889;Girth Weld;1210;12.34;11.45;;;;;;;
1480.86;22;594061.423;7621885.247;440.5802;Girth Weld;1220;12.37;11.45;;;;;;;
1493.23;22;594073.7366;7621886.289;440.4465;Girth Weld;1230;12.35;11.45;;;;;;;
1505.58;22;594086.0214;7621887.347;440.2372;Girth Weld;1240;12.35;11.45;;;;;;;
1517.93;22;594098.3133;7621888.4;440.1267;Girth Weld;1250;12.35;11.45;;;;;;;
1530.29;22;594110.6054;7621889.461;440.0997;Girth Weld;1260;12.34;11.45;;;;;;;
1542.62;22;594122.883;7621890.505;440.0676;Girth Weld;1270;12.18;11.45;;;;;;;
1554.8;22;594135.0029;7621891.501;439.9322;Girth Weld;1280;12.04;11.45;;;;;;;
1566.84;22;594146.9867;7621892.477;439.8297;Girth Weld;1290;12.39;11.45;;;;;;;
1579.22;22;594159.3158;7621893.489;439.7659;Girth Weld;1300;12.12;11.45;;;;;;;
1591.35;22;594171.3853;7621894.455;439.7353;Girth Weld;1310;12.32;11.45;;;;;;;
1603.67;22;594183.6493;7621895.412;439.6516;Girth Weld;1320;12.38;11.45;;;;;;;
1616.05;22;594195.9769;7621896.395;439.4679;Girth Weld;1330;12.36;11.45;;;;;;;
1628.41;22;594208.2805;7621897.368;439.3666;Girth Weld;1340;12.36;11.45;;;;;;;
1640.77;22;594220.5916;7621898.334;439.3578;Girth Weld;1350;11.24;11.45;;;;;;;
1652.01;22;594231.7833;7621899.236;439.2307;Girth Weld;1360;12.35;11.45;;;;;;;
1664.37;22;594244.0774;7621900.265;439.0608;Girth Weld;1370;12.36;11.45;;;;;;;
1676.73;22;594256.3783;7621901.332;438.9663;Girth Weld;1380;12.33;11.45;;;;;;;
1689.06;22;594268.6496;7621902.393;438.8656;Girth Weld;1390;12.37;11.45;;;;;;;
1701.44;22;594280.9647;7621903.392;438.6729;Area Start_wall thickness Change >;1400;11.4;13.74;;;;;;;
1712.84;22;594292.3111;7621904.299;438.4745;Girth Weld;1410;11.56;13.74;;;;;;;
1724.4;22;594303.8216;7621905.207;438.2779;Girth Weld;1420;12.18;13.74;;;;;;;
1736.58;22;594315.946;7621906.19;438.0557;Girth Weld;1430;11.51;13.74;;;;;;;
1748.09;22;594327.3999;7621907.139;437.8476;Girth Weld;1440;12.33;13.74;;;;;;;
1760.42;22;594339.6589;7621908.214;437.5205;Girth Weld;1450;12.36;13.74;;;;;;;
1772.78;22;594351.9469;7621909.314;437.1612;Girth Weld;1460;12.32;13.74;;;;;;;
1785.1;22;594364.1938;7621910.449;436.8752;Girth Weld;1470;12.39;13.74;;;;;;;
1797.49;22;594376.5139;7621911.595;436.675;Girth Weld;1480;12.27;13.74;;;;;;;
1809.76;22;594388.7148;7621912.741;436.3971;Girth Weld;1490;12.18;13.74;;;;;;;
1821.94;22;594400.8308;7621913.672;435.9771;Girth Weld;1500;12.16;13.74;;;;;;;
1834.1;22;594412.875;7621912.859;435.4114;Girth Weld;1510;12.15;13.74;;;;;;;
1846.25;22;594424.5273;7621909.551;434.7957;Girth Weld;1520;12.24;13.74;;;;;;;
1858.49;22;594435.9463;7621905.317;433.8545;Girth Weld;1530;12.21;13.74;;;;;;;
1870.7;22;594447.3456;7621901.121;432.7948;Girth Weld;1540;11.89;13.74;;;;;;;
1882.59;22;594458.4884;7621897.153;431.8131;Girth Weld;1550;12.12;13.74;;;;;;;
1894.71;22;594469.8909;7621893.195;430.929;Girth Weld;1560;12.36;13.74;;;;;;;
1907.07;22;594481.5179;7621889.147;430.1056;Girth Weld;1570;12.39;13.74;;;;;;;
1919.46;22;594493.2059;7621885.164;429.3176;Girth Weld;1580;11.96;13.74;;;;;;;
1931.42;22;594504.4834;7621881.292;428.636;Girth Weld;1590;11.64;13.74;;;;;;;
1943.06;22;594515.4421;7621877.478;427.9633;Girth Weld;1600;10.67;13.74;;;;;;;
1953.73;22;594525.4759;7621873.929;427.3766;Girth Weld;1610;11.87;13.74;;;;;;;
1965.6;22;594536.6427;7621870.007;426.7953;Girth Weld;1620;12;13.74;;;;;;;
1977.6;22;594547.9419;7621866.055;426.334;Girth Weld;1630;12.22;13.74;;;;;;;
1989.82;22;594559.458;7621862.029;426.0242;Area Start_wall thickness Change <;1640;12.37;11.45;;;;;;;
2002.19;22;594571.1206;7621857.957;425.7965;Girth Weld;1650;12.34;11.45;;;;;;;
2014.53;22;594582.7546;7621853.914;425.4606;Girth Weld;1660;12.32;11.45;;;;;;;
2026.85;22;594594.4082;7621849.981;425.0287;Girth Weld;1670;12.35;11.45;;;;;;;
2039.21;22;594606.065;7621845.959;424.6138;Girth Weld;1680;12.34;11.45;;;;;;;
2051.55;22;594617.6819;7621841.86;424.2505;Girth Weld;1690;12.35;11.45;;;;;;;
2063.9;22;594629.3117;7621837.769;423.8182;Girth Weld;1700;12.34;11.45;;;;;;;
2076.24;22;594640.9168;7621833.7;423.1407;Girth Weld;1710;12.34;11.45;;;;;;;
2088.57;22;594652.5214;7621829.669;422.2192;Girth Weld;1720;12.35;11.45;;;;;;;
2100.92;22;594664.1328;7621825.654;421.1761;Girth Weld;1730;12.35;11.45;;;;;;;
2113.27;22;594675.7637;7621821.682;420.1856;Girth Weld;1740;12.15;11.45;;;;;;;
2125.42;22;594687.1779;7621817.746;419.0253;Girth Weld;1750;12.36;11.45;;;;;;;
2137.78;22;594698.7339;7621813.697;417.5457;Girth Weld;1760;12.34;11.45;;;;;;;
2150.13;22;594710.3016;7621809.705;416.092;Girth Weld;1770;12.35;11.45;;;;;;;
2162.48;22;594721.9125;7621805.76;414.7898;Girth Weld;1780;12.19;11.45;;;;;;;
2174.67;22;594733.3852;7621801.846;413.7317;Girth Weld;1790;12.36;11.45;;;;;;;
2187.03;22;594745.0468;7621797.893;412.9044;Girth Weld;1800;12.16;11.45;;;;;;;
2199.18;22;594756.5176;7621794.031;412.0085;Girth Weld;1810;12.36;11.45;;;;;;;
2211.54;22;594768.1295;7621790.036;410.8492;Girth Weld;1820;12.24;11.45;;;;;;;
2223.78;22;594779.5972;7621785.969;409.7334;Girth Weld;1830;12.35;11.45;;;;;;;
2236.13;22;594791.1488;7621781.795;408.6637;Girth Weld;1840;12.33;11.45;;;;;;;
2248.46;22;594802.6859;7621777.699;407.3528;Girth Weld;1850;12.3;11.45;;;;;;;
2260.76;22;594814.1834;7621773.658;405.8624;Girth Weld;1860;12.27;11.45;;;;;;;
2273.03;22;594825.6075;7621769.589;404.1383;Girth Weld;1870;12.2;11.45;;;;;;;
2285.23;22;594836.9547;7621765.6;402.2669;Girth Weld;1880;11.74;11.45;;;;;;;
2296.97;22;594847.8904;7621761.852;400.3428;Girth Weld;1890;12.36;11.45;;;;;;;
2309.33;22;594859.4477;7621757.956;398.5365;Area Start_wall thickness Change >;1900;12.35;13.74;;;;;;;
2321.67;22;594871.0928;7621754.034;397.5476;Girth Weld;1910;12.32;13.74;;;;;;;
2333.99;22;594882.6122;7621749.87;396.5216;Girth Weld;1920;12.36;13.74;;;;;;;
2346.36;22;594893.9808;7621745.355;394.8788;Girth Weld;1930;12.37;13.74;;;;;;;
2358.73;22;594905.4822;7621740.982;393.9985;Girth Weld;1940;12.23;13.74;;;;;;;
2370.96;22;594917.0218;7621737.019;394.5012;Girth Weld;1950;12.35;13.74;;;;;;;
2383.32;22;594928.6488;7621733.052;395.7001;Girth Weld;1960;12.35;13.74;;;;;;;
2395.66;22;594940.2284;7621728.908;396.5899;Girth Weld;1970;12.3;13.74;;;;;;;
2407.97;22;594951.7962;7621724.773;396.8314;Area Start_wall thickness Change <;1980;12.08;11.45;;;;;;;
2420.05;22;594963.1881;7621720.879;397.5674;Girth Weld;1990;12.35;11.45;;;;;;;
2432.4;22;594974.8404;7621717.167;399.236;Girth Weld;2000;12.32;11.45;;;;;;;
2444.72;22;594986.4431;7621713.245;400.5138;Girth Weld;2010;12.34;11.45;;;;;;;
2457.07;22;594998.0265;7621709.166;401.6788;Girth Weld;2020;1.58;11.45;;;;;;;
2458.65;22;594999.5044;7621708.626;401.8306;Girth Weld;2030;12.34;11.45;;;;;;;
2470.99;22;595011.0023;7621704.317;402.9692;Girth Weld;2040;12.35;11.45;;;;;;;
2483.34;22;595022.5693;7621700.08;403.5279;Girth Weld;2050;12.34;11.45;;;;;;;
2495.68;22;595034.1858;7621695.957;403.7994;Girth Weld;2060;12.37;11.45;;;;;;;
2508.05;22;595045.8339;7621691.852;404.2615;Girth Weld;2070;12.22;11.45;;;;;;;
2520.27;22;595057.3237;7621687.775;404.7934;Girth Weld;2080;12.22;11.45;;;;;;;
2532.49;22;595068.846;7621683.752;405.1218;Girth Weld;2090;12.35;11.45;;;;;;;
2544.84;22;595080.5007;7621679.744;405.5873;Girth Weld;2100;12.33;11.45;;;;;;;
2557.17;22;595092.1438;7621675.788;406.3193;Girth Weld;2110;12.36;11.45;;;;;;;
2569.53;22;595103.7826;7621671.742;407.1608;Girth Weld;2120;11.89;11.45;;;;;;;
2581.42;22;595114.9347;7621667.755;408.0947;Girth Weld;2130;12.04;11.45;;;;;;;
2593.46;22;595126.2141;7621663.689;409.1161;Girth Weld;2140;12.04;11.45;;;;;;;
2605.5;22;595137.4889;7621659.627;410.2183;Girth Weld;2150;12.38;11.45;;;;;;;
2617.89;22;595149.098;7621655.502;411.367;Girth Weld;2160;12.36;11.45;;;;;;;
2630.25;22;595160.7208;7621651.445;412.3363;Girth Weld;2170;12.34;11.45;;;;;;;
2642.58;22;595172.3083;7621647.318;413.0884;Girth Weld;2180;12.34;11.45;;;;;;;
2654.92;22;595183.8986;7621643.203;413.8684;Girth Weld;2190;12.38;11.45;;;;;;;
2667.3;22;595195.5447;7621639.117;414.6968;Girth Weld;2200;12.36;11.45;;;;;;;
2679.66;22;595207.1709;7621635.039;415.5991;Girth Weld;2210;12.34;11.45;;;;;;;
2692;22;595218.772;7621630.953;416.4654;Girth Weld;2220;12.35;11.45;;;;;;;
2704.35;22;595230.3902;7621626.871;417.2746;Girth Weld;2230;12.3;11.45;;;;;;;
2716.65;22;595241.9463;7621622.761;417.9288;Girth Weld;2240;11.82;11.45;;;;;;;
2728.47;22;595253.0683;7621618.817;418.3967;Girth Weld;2250;12.37;11.45;;;;;;;
2740.84;22;595264.7173;7621614.719;418.943;Girth Weld;2260;12.24;11.45;;;;;;;
2753.08;22;595276.2477;7621610.691;419.4887;Girth Weld;2270;11.89;11.45;;;;;;;
2764.97;22;595287.4515;7621606.788;419.9921;Girth Weld;2280;12.37;11.45;;;;;;;
2777.34;22;595299.106;7621602.702;420.5039;Girth Weld;2290;12.33;11.45;;;;;;;
2789.67;22;595310.7236;7621598.645;421.0167;Girth Weld;2300;12.33;11.45;;;;;;;
2802.01;22;595322.3462;7621594.59;421.5679;Girth Weld;2310;12.37;11.45;;;;;;;
2814.37;22;595334.0009;7621590.527;422.1113;Girth Weld;2320;12.37;11.45;;;;;;;
2826.74;22;595345.6592;7621586.46;422.6094;Girth Weld;2330;12.35;11.45;;;;;;;
2839.1;22;595357.2909;7621582.355;423.0001;Girth Weld;2340;12.34;11.45;;;;;;;
2851.44;22;595368.9125;7621578.259;423.4355;Girth Weld;2350;12.2;11.45;;;;;;;
2863.64;22;595380.4039;7621574.225;423.9216;Girth Weld;2360;12.35;11.45;;;;;;;
2875.99;22;595392.0205;7621570.095;424.407;Girth Weld;2370;12.37;11.45;;;;;;;
2888.36;22;595403.6426;7621565.94;424.9313;Girth Weld;2380;12.35;11.45;;;;;;;
2900.71;22;595415.265;7621561.839;425.4694;Girth Weld;2390;12.34;11.45;;;;;;;
2913.04;22;595426.8907;7621557.782;425.947;Girth Weld;2400;9.86;11.45;;;;;;;
2922.9;22;595436.1771;7621554.513;426.2359;Girth Weld;2410;12.3;11.45;;;;;;;
2935.2;22;595447.7444;7621550.366;426.3917;Girth Weld;2420;12.08;11.45;;;;;;;
2947.28;22;595459.1062;7621546.32;426.4394;Girth Weld;2430;12.41;11.45;;;;;;;
2959.69;22;595470.792;7621542.286;427.2467;Girth Weld;2440;12.36;11.45;;;;;;;
2972.04;22;595482.4112;7621538.313;428.5313;Girth Weld;2450;12.34;11.45;;;;;;;
2984.39;22;595494.0239;7621534.265;429.4389;Girth Weld;2460;12.37;11.45;;;;;;;
2991.19;22;595500.441;7621532.012;429.793;MM  / No. 2 @ KM 900+003,05;;;;;12:00;;;;;
2996.76;22;595505.6673;7621530.171;430.0638;Girth Weld;2470;12.38;11.45;;;;;;;
3009.13;22;595517.301;7621526.027;430.6105;Girth Weld;2480;11.99;11.45;;;;;;;
3021.12;22;595528.5725;7621522.016;431.0548;Girth Weld;2490;12.37;11.45;;;;;;;
3033.49;22;595540.2175;7621517.922;431.5114;Girth Weld;2500;12.27;11.45;;;;;;;
3045.75;22;595551.7914;7621513.926;432.0245;Girth Weld;2510;12.36;11.45;;;;;;;
3058.11;22;595563.4675;7621509.96;432.5495;Girth Weld;2520;12.34;11.45;;;;;;;
3070.45;22;595575.1263;7621505.976;433.0223;Girth Weld;2530;12.36;11.45;;;;;;;
3082.81;22;595586.7796;7621501.923;433.4707;Girth Weld;2540;11.9;11.45;;;;;;;
3094.72;22;595597.9837;7621497.964;433.887;Girth Weld;2550;12.34;11.45;;;;;;;
3107.06;22;595609.5875;7621493.82;434.3101;Girth Weld;2560;12.33;11.45;;;;;;;
3119.4;22;595621.1805;7621489.676;434.768;Girth Weld;2570;12.37;11.45;;;;;;;
3131.77;22;595632.8152;7621485.536;435.2052;Girth Weld;2580;12.35;11.45;;;;;;;
3144.11;22;595644.439;7621481.444;435.6688;Girth Weld;2590;12.37;11.45;;;;;;;
3156.48;22;595656.003;7621477.132;436.1339;Girth Weld;2600;11.49;11.45;;;;;;;
3167.96;22;595666.6613;7621472.909;436.5437;Girth Weld;2610;12.26;11.45;;;;;;;
3180.23;22;595678.0528;7621468.424;436.966;Girth Weld;2620;12.36;11.45;;;;;;;
3192.59;22;595689.5356;7621463.912;437.3924;Girth Weld;2630;12.37;11.45;;;;;;;
3204.95;22;595701.036;7621459.415;437.7897;Girth Weld;2640;12.34;11.45;;;;;;;
3217.29;22;595712.5154;7621454.959;438.1938;Girth Weld;2650;12.36;11.45;;;;;;;
3229.65;22;595724.0229;7621450.518;438.5777;Girth Weld;2660;12.32;11.45;;;;;;;
3241.97;22;595735.5086;7621446.115;438.9255;Girth Weld;2670;12.37;11.45;;;;;;;
3254.34;22;595747.0346;7621441.67;439.2841;Girth Weld;2680;12.35;11.45;;;;;;;
3266.69;22;595758.53;7621437.199;439.6427;Girth Weld;2690;12.34;11.45;;;;;;;
3279.04;22;595770.0005;7621432.692;440.004;Girth Weld;2700;12.33;11.45;;;;;;;
3291.37;22;595781.4728;7621428.228;440.3631;Girth Weld;2710;12.37;11.45;;;;;;;
3303.73;22;595792.9882;7621423.772;440.7223;Girth Weld;2720;12.36;11.45;;;;;;;
3316.09;22;595804.4955;7621419.322;441.0131;Girth Weld;2730;12.22;11.45;;;;;;;
3328.31;22;595815.8804;7621414.926;441.2925;Girth Weld;2740;12.31;11.45;;;;;;;
3340.62;22;595827.3509;7621410.517;441.5475;Girth Weld;2750;12.17;11.45;;;;;;;
3352.79;22;595838.6848;7621406.125;441.7555;Girth Weld;2760;12.14;11.45;;;;;;;
